industry_code,naics,industry_name
90922000,-,"State government, excluding education"
90922622,-,State hospitals
90922920,-,State government general administration
90922999,-,Other State government
90931611,-,Local government education
90932000,-,"Local government, excluding education"
90932221,-,Local government utilities
90932480,-,Local government transportation
90932622,-,Local hospitals
90932920,-,Local government general administration
90932999,-,Other local government
