naics,aiie,industry_code,industry_name,series_id_emp
7115,0.6088023,70711500,"Independent artists, writers, and performers",CES7071150001
7131,-0.533819,70713100,Amusement parks and arcades,CES7071310001
7132,-0.1355364,70713200,Gambling industries,CES7071320001
7139,-1.085068,70713900,Other amusement and recreation industries,CES7071390001
7211,-0.902616,70721100,Traveler accommodation,CES7072110001
7212,-0.404939,70721200,Recreational vehicle (RV) parks and recreational camps,CES7072120001
7223,-1.060899,70722300,Special food services,CES7072230001
7224,-0.99913,70722400,"Drinking places, alcoholic beverages",CES7072240001
7225,-1.171986,70722500,Restaurants and other eating places,CES7072250001
8111,-1.094294,80811100,Automotive repair and maintenance,CES8081110001
8112,0.1066877,80811200,Electronic and precision equipment repair and maintenance,CES8081120001
8113,-0.7797639,80811300,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,CES8081130001
8114,-0.7464604,80811400,Personal and household goods repair and maintenance,CES8081140001
8121,-0.4751154,80812100,Personal care services,CES8081210001
8122,-0.3155441,80812200,Death care services,CES8081220001
8123,-1.148211,80812300,Drycleaning and laundry services,CES8081230001
8129,-0.7702041,80812900,Other personal services,CES8081290001
8132,1.721215,80813200,Grantmaking and giving services,CES8081320001
8133,1.194087,80813300,Social advocacy organizations,CES8081330001
8134,-0.3505448,80813400,Civic and social organizations,CES8081340001
8139,1.360341,80813900,"Business, professional, labor, political, and similar organizations",CES8081390001
