naics,industry_title,aiie,industry_code,naics_code,industry_name
4871.0,"Scenic and Sightseeing Transportation, Land",0.4042215,,,
4872.0,"Scenic and Sightseeing Transportation, Water",-0.6679308,,,
4879.0,"Scenic and Sightseeing Transportation, Other",0.1866125,,,
4881.0,Support Activities for Air Transportation,-0.3353398,43488100.0,4881.0,Support activities for air transportation
4882.0,Support Activities for Rail Transportation,-1.474989,,,
4883.0,Support Activities for Water Transportation,-1.411064,43488300.0,4883.0,Support activities for water transportation
4884.0,Support Activities for Road Transportation,-0.9504591,43488400.0,4884.0,Support activities for road transportation
4885.0,Freight Transportation Arrangement,1.024609,43488500.0,4885.0,Freight transportation arrangement
4889.0,Other Support Activities for Transportation,-1.105623,,,
4911.0,Postal Service (federal government),-1.314742,,,
4921.0,Couriers and Express Delivery Services,-1.150431,43492100.0,4921.0,Couriers and express delivery services
4922.0,Local Messengers and Local Delivery,-1.182829,,,
4931.0,Warehousing and Storage,-1.59126,,,
5111.0,"Newspaper, Periodical, Book, and Directory Publishers",1.337831,,,
5112.0,Software Publishers,1.966309,,,
5121.0,Motion Picture and Video Industries,0.4026041,,,
5122.0,Sound Recording Industries,1.43428,,,
,,,50513100.0,5131.0,"Newspaper, periodical, book, and directory publishers"
,,,50513200.0,5132.0,Software publishers
5151.0,Radio and Television Broadcasting,1.429625,,,
5152.0,Cable and Other Subscription Programming,1.098212,,,
,,,50516100.0,5161.0,Radio and television broadcasting stations
,,,50516200.0,5162.0,"Media streaming distribution services, social networks, and other media networks and content providers"
5170.0,Telecommunications,0.2466103,,,
,,,50517100.0,5171.0,Wired and wireless telecommunications (except satellite)
5182.0,"Data Processing, Hosting, and Related Services",1.74286,,,
5191.0,Other Information Services,1.749664,,,
5211.0,Monetary Authorities-Central Bank,1.770347,,,
5220.0,Credit Intermediation and Related Activities (5221 And 5223 only),1.888684,,,
,,,55522100.0,5221.0,Depository credit intermediation
5222.0,Nondepository Credit Intermediation,2.113345,55522200.0,5222.0,Nondepository credit intermediation
,,,55522300.0,5223.0,Activities related to credit intermediation
5230.0,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",2.218665,,,
5241.0,Insurance Carriers,2.058794,55524100.0,5241.0,Insurance carriers
5242.0,"Agencies, Brokerages, and Other Insurance Related Activities",2.120996,55524200.0,5242.0,"Agencies, brokerages, and other insurance related activities"
5251.0,Insurance and Employee Benefit Funds,2.180309,,,
5259.0,Other Investment Pools and Funds,2.07022,,,
5310.0,Real Estate,0.5238351,,,
,,,55531100.0,5311.0,Lessors of real estate
,,,55531200.0,5312.0,Offices of real estate agents and brokers
,,,55531300.0,5313.0,Activities related to real estate
5320.0,"Rental and Leasing Services (5322, 5323, and 5324 only)",-0.2705971,,,
5321.0,Automotive Equipment Rental and Leasing,-0.1278947,55532100.0,5321.0,Automotive equipment rental and leasing
,,,55532200.0,5322.0,Consumer goods rental
,,,55532300.0,5323.0,General rental centers
,,,55532400.0,5324.0,Commercial and industrial machinery and equipment rental and leasing
5331.0,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),1.911472,,,
5411.0,Legal Services,2.156741,60541100.0,5411.0,Legal services
